Uniprot ID,Biological Process (GO),Cellular Component (GO),Gene,Protein,Selected CC,Top Enriched BP
P61313,cellular protein metabolic process;gene expression;mRNA metabolic process;nuclear-transcribed mRNA catabolic process - nonsense-mediated decay;RNA metabolic process;SRP-dependent cotranslational protein targeting to membrane;translation;translational elongation;translational initiation;translational termination;viral infectious cycle;viral process;viral transcription,cytosol;nucleus;cytoplasm,RPL15,60S ribosomal protein L15,cytosol,cellular protein metabolic process
P55072,activation of cysteine-type endopeptidase activity involved in apoptotic process;aggresome assembly;response to DNA damage stimulus;DNA repair;double-strand break repair;endoplasmic reticulum unfolded protein response;ER to Golgi vesicle-mediated transport;ER-associated protein catabolic process;establishment of protein localization;positive regulation of proteasomal ubiquitin-dependent protein catabolic process;positive regulation of protein catabolic process;positive regulation of protein complex assembly;proteasomal ubiquitin-dependent protein catabolic process;protein homooligomerization;protein N-linked glycosylation via asparagine;protein ubiquitination;regulation of apoptotic process;retrograde protein transport - ER to cytosol;translesion synthesis,cytoplasm;cytosol;endoplasmic reticulum;nucleus,VCP,Transitional endoplasmic reticulum ATPase,endoplasmic reticulum,regulation of apoptotic process
P02647,adrenal gland development;blood coagulation;blood vessel endothelial cell migration;cellular lipid metabolic process;cholesterol biosynthetic process;cholesterol efflux;cholesterol homeostasis;cholesterol import;cholesterol metabolic process;cholesterol transport;endothelial cell proliferation;G-protein coupled receptor signaling pathway;glucocorticoid metabolic process;high-density lipoprotein particle assembly;high-density lipoprotein particle clearance;high-density lipoprotein particle remodeling;lipid storage;lipoprotein biosynthetic process;lipoprotein metabolic process;negative regulation of cell adhesion molecule production;negative regulation of cytokine secretion involved in immune response;negative regulation of heterotypic cell-cell adhesion;negative regulation of inflammatory response;negative regulation of interleukin-1 beta secretion;negative regulation of lipase activity;negative regulation of response to cytokine stimulus;negative regulation of tumor necrosis factor-mediated signaling pathway;negative regulation of very-low-density lipoprotein particle remodeling;organ regeneration;peptidyl-methionine modification;peripheral nervous system axon regeneration;phosphatidylcholine biosynthetic process;phospholipid efflux;phospholipid homeostasis;phototransduction - visible light;platelet activation;platelet degranulation;positive regulation of cholesterol esterification;positive regulation of hydrolase activity;positive regulation of transferase activity;protein oxidation;protein stabilization;regulation of Cdc42 protein signal transduction;regulation of intestinal cholesterol absorption;regulation of protein phosphorylation;response to drug;response to estrogen stimulus;response to nutrient;retinoid metabolic process;reverse cholesterol transport;small molecule metabolic process;transmembrane transport;triglyceride homeostasis,extracellular;cytoplasm;cytosol;endosome;endoplasmic reticulum;nucleus;plasma membrane,APOA1,Apolipoprotein A-I,extracellular,small molecule metabolic process
P04114,artery morphogenesis;blood coagulation;cellular response to prostaglandin stimulus;cellular response to tumor necrosis factor;cholesterol efflux;cholesterol homeostasis;cholesterol metabolic process;cholesterol transport;fertilization;in utero embryonic development;leukocyte migration;lipoprotein biosynthetic process;lipoprotein catabolic process;lipoprotein metabolic process;lipoprotein transport;low-density lipoprotein particle clearance;low-density lipoprotein particle remodeling;nervous system development;phototransduction - visible light;positive regulation of cholesterol storage;positive regulation of lipid storage;positive regulation of macrophage derived foam cell differentiation;post-embryonic development;receptor-mediated endocytosis;regulation of cholesterol biosynthetic process;response to carbohydrate stimulus;response to lipopolysaccharide;response to selenium ion;response to virus;retinoid metabolic process;small molecule metabolic process;sperm motility;spermatogenesis;triglyceride catabolic process;triglyceride mobilization;very-low-density lipoprotein particle assembly,cytoplasm;cytosol;endosome;endoplasmic reticulum;extracellular;golgi apparatus;plasma membrane,APOB,Apolipoprotein B-100,extracellular,small molecule metabolic process
P27797,activation of signaling protein activity involved in unfolded protein response;antigen processing and presentation of exogenous peptide antigen via MHC class I;antigen processing and presentation of exogenous peptide antigen via MHC class I - TAP-dependent;antigen processing and presentation of peptide antigen via MHC class I;cardiac muscle cell differentiation;cell cycle arrest;cellular calcium ion homeostasis;cellular protein metabolic process;cellular response to lithium ion;cellular senescence;chaperone-mediated protein folding;cortical actin cytoskeleton organization;endoplasmic reticulum unfolded protein response;glucocorticoid receptor signaling pathway;negative regulation of intracellular steroid hormone receptor signaling pathway;negative regulation of neuron differentiation;negative regulation of retinoic acid receptor signaling pathway;negative regulation of transcription from RNA polymerase II promoter;negative regulation of transcription - DNA-dependent;negative regulation of translation;peptide antigen assembly with MHC class I protein complex;positive regulation of cell cycle;positive regulation of cell proliferation;positive regulation of dendritic cell chemotaxis;positive regulation of DNA replication;positive regulation of gene expression;positive regulation of phagocytosis;positive regulation of substrate adhesion-dependent cell spreading;post-translational protein modification;protein export from nucleus;protein folding;protein localization to nucleus;protein maturation by protein folding;protein N-linked glycosylation via asparagine;protein stabilization;regulation of apoptotic process;regulation of meiosis;regulation of transcription - DNA-dependent;response to drug;response to estradiol stimulus;response to testosterone stimulus;sequestering of calcium ion;spermatogenesis,cytoplasm;cytosol;endoplasmic reticulum;plasma membrane;extracellular;golgi apparatus;nucleus,CALR,Calreticulin,extracellular,cellular protein metabolic process
P62910,cellular protein metabolic process;gene expression;mRNA metabolic process;nuclear-transcribed mRNA catabolic process - nonsense-mediated decay;RNA metabolic process;SRP-dependent cotranslational protein targeting to membrane;translation;translational elongation;translational initiation;translational termination;viral infectious cycle;viral process;viral transcription,cytosol,RPL32,60S ribosomal protein L32,cytosol,cellular protein metabolic process
Q06210,activation of signaling protein activity involved in unfolded protein response;carbohydrate biosynthetic process;cellular protein metabolic process;cellular response to insulin stimulus;circadian regulation of gene expression;dolichol-linked oligosaccharide biosynthetic process;endoplasmic reticulum unfolded protein response;energy reserve metabolic process;fructose 6-phosphate metabolic process;glucosamine biosynthetic process;glutamine metabolic process;negative regulation of glycogen biosynthetic process;post-translational protein modification;protein homotetramerization;protein N-linked glycosylation via asparagine;response to sucrose stimulus;UDP-N-acetylglucosamine biosynthetic process,cytosol,GFPT1,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,cytosol,cellular protein metabolic process
P62826,androgen receptor signaling pathway;DNA metabolic process;gene expression;intracellular transport of viral material;mitosis;mitotic spindle organization;positive regulation of protein binding;positive regulation of transcription - DNA-dependent;protein export from nucleus;ribosomal large subunit export from nucleus;ribosomal small subunit export from nucleus;signal transduction;small GTPase mediated signal transduction;small molecule metabolic process;viral infectious cycle;viral process,cytoplasm;cytosol;nucleus,RAN,GTP-binding nuclear protein Ran,nucleus,small molecule metabolic process
P25787,anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process;antigen processing and presentation of exogenous peptide antigen via MHC class I;antigen processing and presentation of exogenous peptide antigen via MHC class I - TAP-dependent;antigen processing and presentation of peptide antigen via MHC class I;apoptotic process;cellular nitrogen compound metabolic process;DNA damage response - signal transduction by p53 class mediator resulting in cell cycle arrest;G1/S transition of mitotic cell cycle;gene expression;mitotic cell cycle;mRNA metabolic process;negative regulation of apoptotic process;negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;protein polyubiquitination;regulation of apoptotic process;regulation of cellular amino acid metabolic process;regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;response to virus;RNA metabolic process;small molecule metabolic process;viral process,cytoplasm;cytosol;nucleus,PSMA2,Proteasome subunit alpha type-2,cytosol,small molecule metabolic process
P49327,acetyl-CoA metabolic process;cellular lipid metabolic process;cellular response to interleukin-4;energy reserve metabolic process;fatty acid biosynthetic process;fatty acid metabolic process;long-chain fatty-acyl-CoA biosynthetic process;osteoblast differentiation;pantothenate metabolic process;positive regulation of cellular metabolic process;small molecule metabolic process;triglyceride biosynthetic process;vitamin metabolic process;water-soluble vitamin metabolic process,cytoplasm;cytosol;golgi apparatus;mitochondrion;plasma membrane,FASN,Fatty acid synthase,plasma membrane,small molecule metabolic process
Q14204,antigen processing and presentation of exogenous peptide antigen via MHC class II;cell death;cytoplasmic mRNA processing body assembly;G2/M transition of mitotic cell cycle;microtubule-based movement;mitotic cell cycle;mitotic spindle organization;stress granule assembly;transport,centrosome;cytoplasm;cytosol,DYNC1H1,Cytoplasmic dynein 1 heavy chain 1,centrosome,mitotic cell cycle
P78527,B cell lineage commitment;brain development;cellular protein modification process;cellular response to insulin stimulus;DNA repair;double-strand break repair;double-strand break repair via nonhomologous end joining;germ cell programmed cell death;heart development;immunoglobulin V(D)J recombination;innate immune response;intrinsic apoptotic signaling pathway in response to DNA damage;negative regulation of protein phosphorylation;peptidyl-serine phosphorylation;positive regulation of apoptotic process;positive regulation of transcription from RNA polymerase II promoter;positive regulation of type I interferon production;pro-B cell differentiation;protein destabilization;regulation of circadian rhythm;response to gamma radiation;rhythmic process;signal transduction involved in mitotic G1 DNA damage checkpoint;somitogenesis;T cell differentiation in thymus;T cell lineage commitment;T cell receptor V(D)J recombination;telomere maintenance,cytosol;nucleus,PRKDC,DNA-dependent protein kinase catalytic subunit,nucleus,innate immune response
Q06830,cell proliferation;erythrocyte homeostasis;hydrogen peroxide catabolic process;natural killer cell mediated cytotoxicity;regulation of NF-kappaB import into nucleus;regulation of stress-activated MAPK cascade;removal of superoxide radicals;retina homeostasis;skeletal system development,cytoplasm;cytosol;extracellular;mitochondrion;nucleus;peroxisome,PRDX1,Peroxiredoxin-1,extracellular,retina homeostasis
P62328,actin cytoskeleton organization;blood coagulation;platelet activation;platelet degranulation;sequestering of actin monomers,cytoplasm;extracellular,TMSB4X,Thymosin beta-4,extracellular,blood coagulation
P21333,actin crosslink formation;actin cytoskeleton reorganization;adenylate cyclase-inhibiting dopamine receptor signaling pathway;blood coagulation;cell junction assembly;cilium assembly;cytoplasmic sequestering of protein;early endosome to late endosome transport;epithelial to mesenchymal transition;establishment of protein localization;mRNA transcription from RNA polymerase II promoter;negative regulation of protein catabolic process;negative regulation of sequence-specific DNA binding transcription factor activity;platelet activation;platelet degranulation;positive regulation of I-kappaB kinase/NF-kappaB cascade;positive regulation of transcription factor import into nucleus;protein localization to cell surface;protein stabilization;receptor clustering;spindle assembly involved in mitosis,cytoplasm;cytosol;extracellular;nucleus;plasma membrane,FLNA,Filamin-A,extracellular,blood coagulation
P00751,complement activation;complement activation - alternative pathway;innate immune response;regulation of complement activation,extracellular;plasma membrane,CFB,Complement factor B,extracellular,innate immune response
P01031,activation of MAPK activity;cell chemotaxis;cell surface receptor signaling pathway;cellular calcium ion homeostasis;chemotaxis;complement activation;complement activation - alternative pathway;complement activation - classical pathway;cytolysis;G-protein coupled receptor signaling pathway;glucose homeostasis;in utero embryonic development;inflammatory response;innate immune response;leukocyte migration involved in inflammatory response;negative regulation of dopamine secretion;negative regulation of macrophage chemotaxis;negative regulation of norepinephrine secretion;positive regulation of angiogenesis;positive regulation of chemokine secretion;positive regulation of chemotaxis;positive regulation vascular endothelial growth factor production;regulation of complement activation;response to stress,extracellular;plasma membrane,C5,Complement C5,extracellular,innate immune response
P01024,complement activation;complement activation - alternative pathway;complement activation - classical pathway;fatty acid metabolic process;G-protein coupled receptor signaling pathway;immune response;inflammatory response;innate immune response;positive regulation of activation of membrane attack complex;positive regulation of angiogenesis;positive regulation of apoptotic cell clearance;positive regulation of G-protein coupled receptor protein signaling pathway;positive regulation of glucose transport;positive regulation of lipid storage;positive regulation of protein phosphorylation;positive regulation of type IIa hypersensitivity;positive regulation vascular endothelial growth factor production;regulation of complement activation;regulation of immune response;regulation of triglyceride biosynthetic process;signal transduction,extracellular;plasma membrane,C3,Complement C3,extracellular,innate immune response
P06576,angiogenesis;ATP biosynthetic process;ATP catabolic process;ATP hydrolysis coupled proton transport;cellular metabolic process;generation of precursor metabolites and energy;lipid metabolic process;mitochondrial ATP synthesis coupled proton transport;negative regulation of cell adhesion involved in substrate-bound cell migration;osteoblast differentiation;proton transport;regulation of intracellular pH;respiratory electron transport chain;small molecule metabolic process,mitochondrion;nucleus;plasma membrane,ATP5B,ATP synthase subunit beta - mitochondrial,plasma membrane,small molecule metabolic process
P61006,axonogenesis;cellular response to insulin stimulus;cilium assembly;G2/M transition of mitotic cell cycle;Golgi vesicle fusion to target membrane;GTP catabolic process;membrane organization;mitotic cell cycle;protein localization to plasma membrane;protein transport;regulation of long-term neuronal synaptic plasticity;regulation of protein transport;small GTPase mediated signal transduction;vesicle docking involved in exocytosis,centrosome;cytoplasm;golgi apparatus;plasma membrane;endosome,RAB8A,Ras-related protein Rab-8A,plasma membrane,membrane organization
Q96C24,exocytosis;intracellular protein transport;multivesicular body sorting pathway;negative regulation of insulin secretion;positive regulation of exocytosis;positive regulation of protein secretion,centrosome;cytoplasm;endosome;nucleus;plasma membrane,SYTL4,Synaptotagmin-like protein 4,plasma membrane,positive regulation of protein secretion
P00750,blood coagulation;cellular protein modification process;fibrinolysis;negative regulation of proteolysis;plasminogen activation;platelet-derived growth factor receptor signaling pathway;positive regulation of ovulation;proteolysis;regulation of synaptic plasticity;response to cAMP;response to glucocorticoid stimulus;response to hypoxia;response to peptide hormone stimulus;smooth muscle cell migration;synaptic transmission - glutamatergic,cytoplasm;extracellular,PLAT,Tissue-type plasminogen activator,extracellular,blood coagulation
O95163,chromatin organization;immune response;positive regulation of cell migration;protein complex assembly;protein phosphorylation;regulation of protein kinase activity;regulation of transcription from RNA polymerase II promoter;signal transduction;transcription elongation from RNA polymerase II promoter,cytoplasm;nucleus,IKBKAP,Elongator complex protein 1,cytoplasm,signal transduction
P02766,extracellular matrix organization;phototransduction - visible light;retinoid metabolic process;retinol metabolic process;transport,cytoplasm;extracellular,TTR,Transthyretin,extracellular,extracellular matrix organization
P02671,blood coagulation;blood coagulation - common pathway;cell-matrix adhesion;cellular protein complex assembly;extracellular matrix organization;negative regulation of blood coagulation - common pathway;negative regulation of endothelial cell apoptotic process;negative regulation of extrinsic apoptotic signaling pathway via death domain receptors;platelet activation;platelet aggregation;platelet degranulation;positive regulation of ERK1 and ERK2 cascade;positive regulation of exocytosis;positive regulation of heterotypic cell-cell adhesion;positive regulation of peptide hormone secretion;positive regulation of protein secretion;positive regulation of substrate adhesion-dependent cell spreading;positive regulation of vasoconstriction;protein polymerization;response to calcium ion;signal transduction,extracellular;cytoplasm;plasma membrane,FGA,Fibrinogen alpha chain,extracellular,blood coagulation
P30086,NOTDEFINED,cytoplasm;nucleus,PEBP1,Phosphatidylethanolamine-binding protein 1,cytoplasm,
P62937,blood coagulation;entry into host cell;establishment of integrated proviral latency;leukocyte migration;lipid particle organization;platelet activation;platelet degranulation;positive regulation of protein secretion;positive regulation of viral genome replication;protein folding;protein peptidyl-prolyl isomerization;regulation of viral genome replication;RNA-dependent DNA replication;uncoating of virus;viral infectious cycle;viral process;viral release from host cell;virion assembly,cytosol;extracellular;nucleus,PPIA,Peptidyl-prolyl cis-trans isomerase A,extracellular,blood coagulation
P30153,apoptotic process;ceramide metabolic process;chromosome segregation;fibroblast growth factor receptor signaling pathway;G2/M transition of mitotic cell cycle;gene expression;inactivation of MAPK activity;mitotic cell cycle;mitotic nuclear envelope reassembly;mRNA metabolic process;negative regulation of cell growth;negative regulation of tyrosine phosphorylation of Stat3 protein;nuclear-transcribed mRNA catabolic process - nonsense-mediated decay;peptidyl-serine dephosphorylation;positive regulation of extrinsic apoptotic signaling pathway in absence of ligand;protein complex assembly;protein dephosphorylation;regulation of cell adhesion;regulation of cell differentiation;regulation of DNA replication;regulation of growth;regulation of transcription - DNA-dependent;regulation of Wnt receptor signaling pathway;response to organic substance;RNA metabolic process;RNA splicing;second-messenger-mediated signaling,cytosol;cytoplasm;mitochondrion;nucleus,PPP2R1A,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,mitochondrion,mRNA metabolic process
Q14766,extracellular matrix organization;sequestering of TGFbeta in extracellular matrix;transmembrane receptor protein serine/threonine kinase signaling pathway,extracellular,LTBP1,Latent-transforming growth factor beta-binding protein 1,extracellular,extracellular matrix organization
P31948,response to stress,golgi apparatus;nucleus,STIP1,Stress-induced-phosphoprotein 1,golgi apparatus,response to stress
P00738,acute-phase response;defense response;defense response to bacterium;immune system process;negative regulation of hydrogen peroxide catabolic process;negative regulation of oxidoreductase activity;positive regulation of cell death;response to hydrogen peroxide,extracellular,HP,Haptoglobin,extracellular,acute-phase response
P02649,aging;alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate receptor clustering;artery morphogenesis;cell death;cellular calcium ion homeostasis;cellular response to cholesterol;cellular response to growth factor stimulus;cellular response to interleukin-1;cGMP-mediated signaling;cholesterol catabolic process;cholesterol efflux;cholesterol homeostasis;cholesterol metabolic process;chylomicron remnant clearance;cytoskeleton organization;fatty acid homeostasis;G-protein coupled receptor signaling pathway;high-density lipoprotein particle assembly;high-density lipoprotein particle clearance;high-density lipoprotein particle remodeling;intracellular transport;lipoprotein biosynthetic process;lipoprotein catabolic process;lipoprotein metabolic process;long-chain fatty acid transport;low-density lipoprotein particle remodeling;maintenance of location in cell;N-methyl-D-aspartate receptor clustering;negative regulation of blood coagulation;negative regulation of blood vessel endothelial cell migration;negative regulation of cholesterol biosynthetic process;negative regulation of cholesterol efflux;negative regulation of dendritic spine development;negative regulation of endothelial cell proliferation;negative regulation of inflammatory response;negative regulation of lipid biosynthetic process;negative regulation of MAP kinase activity;negative regulation of neuron apoptotic process;negative regulation of neuron death;negative regulation of platelet activation;negative regulation of postsynaptic membrane organization;negative regulation of presynaptic membrane organization;nitric oxide mediated signal transduction;oligodendrocyte differentiation;peripheral nervous system axon regeneration;phospholipid efflux;phototransduction - visible light;positive regulation of axon extension;positive regulation of beta-amyloid formation;positive regulation of cGMP biosynthetic process;positive regulation of cholesterol efflux;positive regulation of cholesterol esterification;positive regulation of dendritic spine development;positive regulation of lipid biosynthetic process;positive regulation of low-density lipoprotein particle receptor catabolic process;positive regulation of membrane protein ectodomain proteolysis;positive regulation of neuron death;positive regulation of nitric-oxide synthase activity;positive regulation of postsynaptic membrane organization;positive regulation of presynaptic membrane organization;protein import;receptor-mediated endocytosis;regulation of axon extension;regulation of beta-amyloid clearance;regulation of Cdc42 protein signal transduction;regulation of neuron death;regulation of neuronal synaptic plasticity;response to dietary excess;response to ethanol;response to insulin stimulus;response to reactive oxygen species;response to retinoic acid;retinoid metabolic process;reverse cholesterol transport;small molecule metabolic process;synaptic transmission - cholinergic;triglyceride metabolic process;vasodilation;very-low-density lipoprotein particle clearance;very-low-density lipoprotein particle remodeling,extracellular;cytoplasm;endosome;plasma membrane;golgi apparatus;nucleus,APOE,Apolipoprotein E,extracellular,small molecule metabolic process
P00747,blood coagulation;cellular protein metabolic process;extracellular matrix disassembly;extracellular matrix organization;fibrinolysis;labyrinthine layer blood vessel development;mononuclear cell migration;muscle cell cellular homeostasis;myoblast differentiation;negative regulation of cell proliferation;negative regulation of cell-cell adhesion mediated by cadherin;negative regulation of cell-substrate adhesion;negative regulation of fibrinolysis;platelet activation;platelet degranulation;positive regulation of fibrinolysis;proteolysis involved in cellular protein catabolic process;tissue regeneration;tissue remodeling;trophoblast giant cell differentiation,extracellular;plasma membrane,PLG,Plasminogen,extracellular,blood coagulation
P04792,cell death;cellular component movement;cellular response to vascular endothelial growth factor stimulus;gene expression;intracellular signal transduction;mRNA metabolic process;negative regulation of apoptotic process;negative regulation of intrinsic apoptotic signaling pathway in response to oxidative stress;negative regulation of protein kinase activity;negative regulation of protein serine/threonine kinase activity;positive regulation of angiogenesis;positive regulation of blood vessel endothelial cell migration;positive regulation of endothelial cell chemotaxis;positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway;positive regulation of interleukin-1 beta production;positive regulation of tumor necrosis factor biosynthetic process;regulation of I-kappaB kinase/NF-kappaB cascade;regulation of translational initiation;response to unfolded protein;response to virus;retina homeostasis;RNA metabolic process,cytoplasm;cytosol;extracellular;nucleus;plasma membrane,HSPB1,Heat shock protein beta-1,extracellular,cellular component movement
O94925,cellular amino acid biosynthetic process;cellular nitrogen compound metabolic process;glutamate biosynthetic process;glutamate secretion;glutamine catabolic process;neurotransmitter secretion;protein homotetramerization;regulation of respiratory gaseous exchange by neurological system process;small molecule metabolic process;suckling behavior;synaptic transmission,cytosol;mitochondrion,GLS,Glutaminase kidney isoform - mitochondrial,mitochondrion,small molecule metabolic process
P63241,apoptotic process;cellular protein metabolic process;mRNA export from nucleus;nucleocytoplasmic transport;peptidyl-lysine modification to hypusine;positive regulation of cell proliferation;positive regulation of translational elongation;positive regulation of translational termination;post-translational protein modification;protein export from nucleus;translational frameshifting,cytoplasm;cytosol;endoplasmic reticulum;nucleus,EIF5A,Eukaryotic translation initiation factor 5A-1,endoplasmic reticulum,cellular protein metabolic process
P10809,_de novo_ protein folding;activation of cysteine-type endopeptidase activity involved in apoptotic process;ATP catabolic process;B cell activation;B cell cytokine production;B cell proliferation;chaperone-mediated protein complex assembly;isotype switching to IgG isotypes;MyD88-dependent toll-like receptor signaling pathway;negative regulation of apoptotic process;positive regulation of apoptotic process;positive regulation of interferon-alpha production;positive regulation of interferon-gamma production;positive regulation of interleukin-10 production;positive regulation of interleukin-12 production;positive regulation of interleukin-6 production;positive regulation of macrophage activation;positive regulation of T cell activation;positive regulation of T cell mediated immune response to tumor cell;protein maturation;protein refolding;protein stabilization;response to unfolded protein;T cell activation;viral process,cytoplasm;cytosol;endosome;extracellular;mitochondrion;plasma membrane,HSPD1,60 kDa heat shock protein - mitochondrial,extracellular,viral process
P35241,actin filament capping;apical protein localization;establishment of endothelial barrier;microvillus assembly;positive regulation of gene expression,cytoplasm;extracellular;plasma membrane,RDX,Radixin,extracellular,positive regulation of gene expression
P52565,cellular component movement;negative regulation of apoptotic process;negative regulation of axonogenesis;negative regulation of cell adhesion;neurotrophin TRK receptor signaling pathway;positive regulation of axonogenesis;regulation of axonogenesis;regulation of catalytic activity;regulation of protein localization;regulation of small GTPase mediated signal transduction;Rho protein signal transduction;semaphorin-plexin signaling pathway;small GTPase mediated signal transduction,cytoplasm;cytosol;plasma membrane,ARHGDIA,Rho GDP-dissociation inhibitor 1,plasma membrane,cellular component movement
O95486,antigen processing and presentation of exogenous peptide antigen via MHC class II;antigen processing and presentation of peptide antigen via MHC class I;cellular protein metabolic process;COPII vesicle coating;ER to Golgi vesicle-mediated transport;intracellular protein transport;membrane organization;post-translational protein modification;protein N-linked glycosylation via asparagine;small molecule metabolic process,cytosol;endoplasmic reticulum;golgi apparatus;cytoplasm,SEC24A,Protein transport protein Sec24A,endoplasmic reticulum,small molecule metabolic process
Q13200,anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process;antigen processing and presentation of exogenous peptide antigen via MHC class I;antigen processing and presentation of exogenous peptide antigen via MHC class I - TAP-dependent;antigen processing and presentation of peptide antigen via MHC class I;apoptotic process;cellular nitrogen compound metabolic process;DNA damage response - signal transduction by p53 class mediator resulting in cell cycle arrest;G1/S transition of mitotic cell cycle;gene expression;mitotic cell cycle;mRNA metabolic process;negative regulation of apoptotic process;negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;protein polyubiquitination;regulation of apoptotic process;regulation of cellular amino acid metabolic process;regulation of protein catabolic process;regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;RNA metabolic process;small molecule metabolic process;viral process,cytosol;nucleus,PSMD2,26S proteasome non-ATPase regulatory subunit 2,cytosol,small molecule metabolic process
Q9Y4L1,activation of signaling protein activity involved in unfolded protein response;cellular protein metabolic process;endoplasmic reticulum unfolded protein response;response to ischemia;response to stress,endoplasmic reticulum;extracellular,HYOU1,Hypoxia up-regulated protein 1,extracellular,cellular protein metabolic process
O00499,cell proliferation;endocytosis;lipid tube assembly;muscle cell differentiation;positive regulation of apoptotic process;positive regulation of astrocyte differentiation;positive regulation of endocytosis;positive regulation of GTPase activity;regulation of cell cycle arrest;regulation of neuron differentiation;viral process,cytoplasm;nucleus;plasma membrane,BIN1,Myc box-dependent-interacting protein 1,plasma membrane,viral process
P15531,cellular response to drug;cellular response to fatty acid;cellular response to glucose stimulus;CTP biosynthetic process;DNA catabolic process;endocytosis;GTP biosynthetic process;hippocampus development;lactation;negative regulation of cell proliferation;negative regulation of gene expression;negative regulation of myeloid leukocyte differentiation;nucleobase-containing small molecule interconversion;nucleobase-containing small molecule metabolic process;positive regulation of DNA binding;positive regulation of epithelial cell proliferation;positive regulation of neuron projection development;regulation of apoptotic process;response to amine stimulus;response to cAMP;response to testosterone stimulus;small molecule metabolic process;UTP biosynthetic process,centrosome;cytoplasm;cytosol;mitochondrion;nucleus;plasma membrane,NME1,Nucleoside diphosphate kinase A,plasma membrane,small molecule metabolic process
Q96KP4,cellular nitrogen compound metabolic process;glutathione biosynthetic process;glutathione derivative biosynthetic process;small molecule metabolic process;sulfur amino acid metabolic process;xenobiotic metabolic process,cytosol,CNDP2,Cytosolic non-specific dipeptidase,cytosol,small molecule metabolic process
P17844,cell growth;circadian rhythm;in utero embryonic development;intrinsic apoptotic signaling pathway by p53 class mediator;mRNA splicing - via spliceosome;negative regulation of transcription from RNA polymerase II promoter;positive regulation of DNA damage response - signal transduction by p53 class mediator;positive regulation of intracellular estrogen receptor signaling pathway;positive regulation of transcription from RNA polymerase II promoter;regulation of alternative mRNA splicing - via spliceosome;regulation of androgen receptor signaling pathway;regulation of osteoblast differentiation;regulation of skeletal muscle cell differentiation;regulation of viral genome replication;transcription - DNA-dependent,nucleus,DDX5,Probable ATP-dependent RNA helicase DDX5,nucleus,intrinsic apoptotic signaling pathway by p53 class mediator
P01008,blood coagulation;negative regulation of endopeptidase activity;negative regulation of inflammatory response;regulation of blood coagulation - intrinsic pathway;regulation of proteolysis;response to nutrient,extracellular;plasma membrane,SERPINC1,Antithrombin-III,extracellular,blood coagulation
Q15084,activation of signaling protein activity involved in unfolded protein response;apoptotic cell clearance;cell redox homeostasis;cellular protein metabolic process;endoplasmic reticulum unfolded protein response;protein folding;response to endoplasmic reticulum stress,endoplasmic reticulum;cytoplasm;plasma membrane,PDIA6,Protein disulfide-isomerase A6,plasma membrane,cellular protein metabolic process
P22392,cell adhesion;CTP biosynthetic process;GTP biosynthetic process;integrin-mediated signaling pathway;negative regulation of apoptotic process;nucleobase-containing small molecule interconversion;nucleobase-containing small molecule metabolic process;nucleoside triphosphate biosynthetic process;positive regulation of epithelial cell proliferation;positive regulation of keratinocyte differentiation;positive regulation of transcription from RNA polymerase II promoter;regulation of epidermis development;regulation of transcription - DNA-dependent;small molecule metabolic process;transcription - DNA-dependent;UTP biosynthetic process,cytoplasm;cytosol;nucleus,NME2,Nucleoside diphosphate kinase B,nucleus,small molecule metabolic process
P08603,complement activation;complement activation - alternative pathway;innate immune response;regulation of complement activation,extracellular,CFH,Complement factor H,extracellular,innate immune response
P07195,cellular carbohydrate metabolic process;cellular metabolic process;glycolysis;lactate metabolic process;NAD metabolic process;pyruvate metabolic process;small molecule metabolic process,cytoplasm;cytosol;mitochondrion,LDHB,L-lactate dehydrogenase B chain,mitochondrion,small molecule metabolic process
P08758,blood coagulation;negative regulation of apoptotic process;negative regulation of catalytic activity;negative regulation of coagulation;response to organic substance;signal transduction,cytoplasm;plasma membrane,ANXA5,Annexin A5,plasma membrane,blood coagulation
P11021,activation of signaling protein activity involved in unfolded protein response;ATP catabolic process;blood coagulation;cellular protein metabolic process;cellular response to antibiotic;cellular response to glucose starvation;cellular response to interleukin-4;cerebellar Purkinje cell layer development;cerebellum structural organization;endoplasmic reticulum unfolded protein response;ER overload response;ER-associated protein catabolic process;maintenance of protein localization in endoplasmic reticulum;negative regulation of apoptotic process;negative regulation of transforming growth factor beta receptor signaling pathway;platelet activation;platelet degranulation;positive regulation of cell migration;positive regulation of protein ubiquitination;regulation of protein folding in endoplasmic reticulum;substantia nigra development,endoplasmic reticulum;cytoplasm;nucleus,HSPA5,78 kDa glucose-regulated protein,endoplasmic reticulum,blood coagulation
